appl_seq_num,price,order_qty,side,transact_time,order_type,bid_appl_seq_num,offer_appl_seq_num
16041950,76800,40000,1,20200110144930260,2,,
16041951,76900,30000,1,20200110144930260,2,,
16041952,76900,30000,,20200110144930260,F,16041951,16039760
16042007,77600,10000,1,20200110144930300,2,,
16042008,76900,10000,,20200110144930300,F,16042007,16039760
16042067,76900,20000,1,20200110144930340,2,,
16042068,76900,20000,,20200110144930340,F,16042067,16039760
16042113,76900,10000,1,20200110144930380,2,,
16042114,76900,10000,,20200110144930380,F,16042113,16039760
16044303,76900,30000,1,20200110144932210,2,,
16044304,76900,30000,,20200110144932210,F,16044303,16039760
16044308,0,220000,,20200110144932210,4,0,16030567
16044704,76900,3000000,2,20200110144932520,2,,
16044800,76800,440000,1,20200110144932620,2,,
16044802,76800,400000,1,20200110144932620,2,,
16044908,0,10000,,20200110144932720,4,0,16037956
16044909,76900,10000,2,20200110144932720,2,,
16045454,76800,70000,2,20200110144933210,2,,
16045455,76800,70000,,20200110144933210,F,15405544,16045454
16047660,0,500000,,20200110144935010,4,0,16016582
16050670,0,440000,,20200110144937850,4,0,15940707
16051072,76900,40000,1,20200110144938240,2,,
16051073,76900,40000,,20200110144938240,F,16051072,16039760
16051628,0,100000,,20200110144938790,4,13578076,0
16051990,76900,50000,1,20200110144939110,2,,
16051991,76900,50000,,20200110144939110,F,16051990,16039760
16054871,0,20000,,20200110144941570,4,0,15993744
16055188,76900,70000,1,20200110144941810,2,,
16055189,76900,70000,,20200110144941810,F,16055188,16039760
16055509,0,500000,,20200110144942130,4,9084631,0
16055527,76800,20000,1,20200110144942140,2,,
16057132,76200,7600,2,20200110144943420,2,,
16057133,76800,7600,,20200110144943420,F,15405544,16057132
16057518,77000,100000,2,20200110144943770,2,,
16057537,76900,730000,2,20200110144943780,2,,
16058743,76900,50000,1,20200110144945040,2,,
16058744,76900,50000,,20200110144945040,F,16058743,16039760
16058755,76900,500000,2,20200110144945060,2,,
16058997,77600,10000,1,20200110144945200,2,,
16058998,76900,10000,,20200110144945200,F,16058997,16039760
16059410,76900,60000,2,20200110144945490,2,,
16059453,76900,30000,1,20200110144945530,2,,
16059454,76900,30000,,20200110144945530,F,16059453,16044704
16059584,76800,40000,1,20200110144945640,2,,
16059725,76900,20000,1,20200110144945730,2,,
16059726,76900,20000,,20200110144945730,F,16059725,16044704
16061637,77100,20000,1,20200110144947170,2,,
16061638,76900,20000,,20200110144947170,F,16061637,16044704
16061663,76800,10000,1,20200110144947180,2,,
16061680,76800,60000,1,20200110144947190,2,,
16062864,76800,10000,1,20200110144948070,2,,
16063033,76800,20000,1,20200110144948170,2,,
16063036,76800,20000,1,20200110144948180,2,,
16063038,76800,10000,1,20200110144948180,2,,
16067660,0,10000,,20200110144951700,4,16063038,0
16067687,0,10000,,20200110144951730,4,16061663,0
16067706,0,10000,,20200110144951740,4,15509627,0
16067725,0,10000,,20200110144951750,4,15764565,0
16069122,0,30000,,20200110144952900,4,10923381,0
16071719,76900,10000,1,20200110144955260,2,,
16071720,76900,10000,,20200110144955260,F,16071719,16044704
16072026,0,150000,,20200110144955580,4,5861975,0
16072118,77300,500000,2,20200110144955690,2,,
16072790,0,500000,,20200110144956390,4,0,16032864
16072850,76900,20000,2,20200110144956460,2,,
16073682,76900,20000,2,20200110144957270,2,,
16073731,77100,20000,1,20200110144957310,2,,
16073732,76900,20000,,20200110144957310,F,16073731,16044704
16074987,76700,40000,1,20200110144958160,2,,
16075076,76700,370000,1,20200110144958250,2,,
16075186,76900,120000,1,20200110144958380,2,,
16075187,76900,120000,,20200110144958380,F,16075186,16044704
16076758,76900,500000,1,20200110144959840,2,,
16076759,76900,500000,,20200110144959840,F,16076758,16044704
16076963,76800,140000,1,20200110145000010,2,,
16077146,76800,2120000,2,20200110145000130,2,,
16077147,76800,1092400,,20200110145000130,F,15405544,16077146
16077148,76800,30000,,20200110145000130,F,15411689,16077146
16077149,76800,200000,,20200110145000130,F,15412381,16077146
16077150,76800,300000,,20200110145000130,F,15412509,16077146
16077151,76800,110000,,20200110145000130,F,15420309,16077146
16077152,76800,50000,,20200110145000130,F,15430782,16077146
16077153,76800,60000,,20200110145000130,F,15440689,16077146
16077154,76800,50000,,20200110145000130,F,15450672,16077146
16077155,76800,50000,,20200110145000130,F,15462226,16077146
16077156,76800,80000,,20200110145000130,F,15467486,16077146
16077157,76800,70000,,20200110145000130,F,15473046,16077146
16077158,76800,10000,,20200110145000130,F,15482262,16077146
16077159,76800,17600,,20200110145000130,F,15486252,16077146
16077281,76800,1380000,2,20200110145000190,2,,
16077282,76800,2400,,20200110145000190,F,15486252,16077281
16077283,76800,20000,,20200110145000190,F,15491081,16077281
16077284,76800,20000,,20200110145000190,F,15499820,16077281
16077285,76800,10000,,20200110145000190,F,15505064,16077281
16077286,76800,20000,,20200110145000190,F,15509080,16077281
16077287,76800,390000,,20200110145000190,F,15549083,16077281
16077288,76800,300000,,20200110145000190,F,15564777,16077281
16077289,76800,290000,,20200110145000190,F,15645638,16077281
16077290,76800,10000,,20200110145000190,F,15684417,16077281
16077291,76800,30000,,20200110145000190,F,15684428,16077281
16077292,76800,100000,,20200110145000190,F,15695455,16077281
16077293,76800,150000,,20200110145000190,F,15712528,16077281
16077294,76800,20000,,20200110145000190,F,15753895,16077281
